X,Y,objectid,globalid,business_name,address_help_your_customer_find,phone_number_to_place_an_order,business_website,are_you_open_for,provide_details_for_you_busines,CreationDate,EditDate
-122.387825864676,47.6869468429369,19,9a118b45-8138-48c5-bad2-99c13e0b5738,Cafe Munir,"2408 NW 80th St, Seattle, WA 98117",(206) 783-4190,https://facebook.com/Cafe-Munir-117120638400154/,takeout,Serving To Go menu.  Open Tuesday - Saturday 4 - 9 for take out only.,2020/03/27 01:38:15.543+00,2020/04/27 06:10:16.920+00
-122.376472379,47.674058566,20,f1807660-32a2-49dc-a64e-c839dfdc9b02,Watson's Counter,"6201 15th Ave NW, Seattle, WA 98107",206-349-3283 (text),https://www.facebook.com/watsonscounter/,takeout, text your orders in everyday from 9am to 2:30pm! 206-349-3283 (text only),2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.374818154,47.6794090920001,21,71a344ed-6d2c-446b-94fc-c6243be38d6c,Delancey,"1415 NW 70th St, Seattle, WA 98117",(206) 838-1960,https://delanceyseattle.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.383984771,47.6678286470001,22,b826843c-e576-4598-b55d-ad1b739dd16e,Porkchop & Co,"5451 Leary Ave NW, Seattle, WA 98107",(206) 257-5761,https://www.eatatporkchop.com/,"takeout,delivery,third_party_delivery_service","Housemade bagels, breakfast burritos, buttermilk biscuits, and sandwiches. Open 9am-2pm. ",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3430345,47.652975,23,822ecda4-1948-4201-bb2a-b27a6bf1bbd5,Art of the Table,"3801 Stone Way N Suite A, Seattle, WA 98103",(206) 282-0942,https://www.artofthetable.net/,"takeout,delivery","Meals will be available for pick up between 4:30-7:30pm. If  you live in close proximity to us, we can make arrangements to deliver. ",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.342314272,47.649577321,24,59273ab4-a5fa-488a-af1e-e1d61b8127c9,The Whale Wins,"3506 Stone Way N, Seattle, WA 98103",(206) 632-9425,https://www.thewhalewins.com/,"takeout,curbside",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.344318575,47.6540812330001,25,2551eaca-1386-4774-bba6-a553763aac9a,Kamonegi,"1054 N 39th St, Seattle, WA 98103",(206) 632-0185,https://www.kamonegiseattle.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.349644238,47.6594954490001,26,400fb0de-dfb4-4b21-809f-320f4f5984a2,Uneeda Burger,"4302 Fremont Ave N, Seattle, WA 98103",(206) 547-2600,http://uneedaburger.com/,"takeout,third_party_delivery_service","Orders can be placed by phone or at the counter, or online.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.350927188,47.650475091,27,63c9455b-f62a-4713-9f30-2c443da21d5e,El Camino,"607 N 35th St, Seattle, WA 98103",(206) 632-7303,http://elcaminorestaurant.com/,"takeout,curbside,third_party_delivery_service",Open for take out from 4PM - 9PM (Tuesday - Saturday) or order and pay online for curbside pick-up! Margarita kits available with purchase of food,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.347316679083,47.6181915637712,28,c1aa8c09-1fdb-4cd2-bf09-4246e934f563,5 Point Cafe ,415 Cedar St,206.448.9991 ,https://www.the5pointcafe.com/,"takeout,curbside,delivery,third_party_delivery_service","Call 206 285-9728 for curbside pickup for food & booze. Menu on our website (Pick up at Mecca) Delivery via Grubhub, Postmates & Uber Eats. 8am - 12am",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.349342156749,47.6503238404181,29,dbfa4941-8c79-4921-985b-02d7c09be825,Agrodolce,"709 N 35th St, Seattle, WA 98103",(206)547-9707,https://www.agrodolcefremont.com/,"takeout,delivery,third_party_delivery_service","Open Tuesday - Saturday from 4:00 PM to 8:00 PM for pick-up.   
Check our website for pick-up specials.  ",2020/03/27 01:38:15.543+00,2020/06/04 14:50:56.934+00
-122.382539841,47.6673242900001,30,9c15ee03-3329-4256-9f87-5544ef31d4b1,Alison’s Coastal Cafe & Bakery ,5404 Leary Ave NW , 206.322.5028 ,https://www.instagram.com/alisonscoastalcafe/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.354499669813,47.5161526336955,31,2775ebb8-d166-4c45-83d2-c9a09878356e,Anju Bar and Eatery ,9641 15th Ave SW , 206.397.4669 ,https://anjuseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.348904871,47.6138630840001,32,03ffdd83-e28c-4df5-a977-959aea67f844,Bang Bang Café - Belltown,2460 Western Ave., 206-448-2233,https://www.bangbangseattle.com/cafe,"takeout,delivery,third_party_delivery_service",Open Tuesday-Saturday 10:00 AM - 2:00 PM.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3095732,47.5753168530001,33,4ff38c2f-6d47-4e69-89d1-b32914ffaa60,Bar Del Corso,3057 Beacon Ave. S., 206-395-2069,https://www.bardelcorso.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.33936357,47.609426141,34,4716cee6-c7b7-4f90-9c83-9dca0cb03e2f,Ben Paris – The State Hotel  ,130 Pike St , 206.513.7300 ,https://benparis.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.341928008,47.6617570650001,35,d111cdaf-2fe3-4d8d-aa32-99d139bc6a6b,Blue Star Cafe and Pub ,4512 Stone Way N , 206.548.0345 ,https://www.bluestarcafeandpub.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.302418088,47.5835172430001,36,482cf1aa-d8a6-42f5-ae67-1b80063144ac,Buddha Bruddah (Rainier),2201 Rainier Ave. S., 206-556-4134,https://www.buddhabruddah.com/,"takeout,curbside,delivery,third_party_delivery_service","Monday - Thursday 11:30am - 8:00pm
Friday, Saturday 11:30am - 8:30pm
Sunday 4:00pm - 8:00pm",2020/03/27 01:38:15.543+00,2020/05/17 15:33:36.158+00
-122.29389308,47.661581633,37,397205b3-b219-4052-9f50-7d86369eac9c,Burgermaster - Seattle,3040 NE 45th St , 206.525.7100 ,https://burgermaster.biz/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/04/24 19:42:19.936+00
-122.383743619,47.6561309690001,39,cdfab6be-d790-4906-840c-ef0f29387ee3,Caffe Appassionato Coffee Company ,4001 21st Ave W , 206.281.8040 ,https://caffeappassionato.com/,delivery,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.346816365,47.643123933,40,06c76a51-2217-424a-a0c6-afa3b8c9151e,Canlis,2576 Aurora Ave. N., 206-283-3313,https://canlis.com/,delivery,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.298772642019,47.6624745543844,43,0662da9e-381c-4a8e-ae03-a23f022a5300,Delfino’s Chicago Style Pizza , 2631 NE University Village St , 206.972.5411 ,https://delfinospizza.com,"takeout,delivery,third_party_delivery_service","Stock your freezer with our Take & Bake pizzas, order pick up or delivery.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.299105300137,47.6614854503225,44,583b17df-944d-40cc-9530-96e3333e1847,Din Tai Fung University Village, 2621 NE 46th St., 206-525-0958,https://dintaifungusa.com/locations.html,"delivery,third_party_delivery_service",Caviar https://www.trycaviar.com/seattle/din-tai-fung--university-village-6690,2020/03/27 01:38:15.543+00,2020/04/25 23:55:46.477+00
-122.320706691914,47.6225131367535,45,83f1d4b1-31b5-4e7b-8b3a-12ebf257c44f,Due Cucina Italiana,412 Broadway E., 206-397-4375,https://duecucina.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.386563541,47.5603981180001,46,8e16e8ff-7645-4da6-a6f8-59d1c6eb38b2,Elliott Bay Brewery & Pub - West Seattle ,"4720 California Ave SW, Seattle, WA 98116", 206.890.5478 ,https://elliottbaybrewing.com,"takeout,curbside,delivery,third_party_delivery_service","Tues-Thurs 4pm-8pm
Fri-Sun 12pm-8pm
Closed Monday

Call 206-932-8695 to place order for pick-up

1/2 Price Growlers while on modified hours.",2020/03/27 01:38:15.543+00,2020/04/30 14:53:57.571+00
-122.338811046,47.4665368190001,47,5f645c13-29ba-4090-a34f-e9028a1e2e6c,Elliott Bay Brewhouse & Pub - Burien ,"255 SW 152nd St, Burien, WA 98166", 206.246.4212 ,https://www.elliottbaybrewing.com/,"takeout,curbside","Tues-Fri 4pm-8pm
Sat-Sun 12pm-8pm
Closed Monday

Call 206-932-8695 to place order for pick-up

1/2 Price Growlers while on modified hours.",2020/03/27 01:38:15.543+00,2020/04/30 14:54:23.806+00
-122.295065212,47.7203173570001,48,574db035-3c38-4494-8142-974e59de3d30,Elliott Bay Public House & Brewery - Lake City ,"12537 Lake City Way NE, Seattle, WA 98125", 206.365.2337 ,https://elliottbaybrewing.com,"takeout,curbside,third_party_delivery_service","Tues-Fri 4pm-8pm
Sat-Sun 12pm-8pm
Closed Monday

Call 206-932-8695 to place order for pick-up

1/2 Price Growlers while on modified hours.",2020/03/27 01:38:15.543+00,2020/04/30 14:55:28.023+00
-122.316580777,47.5495704730001,50,22867086-200b-43da-b04e-f2e04987d8f7,Fran’s Chocolates , 5900 Airport Way S  , 800.422.3726 ,https://frans.com/,delivery,Currently offering:$5 shipping for all local deliveries.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.326776625,47.624422499,51,46f60076-3574-4219-8805-2d9562439be1,Harrys Fine Foods,601 Bellevue Ave E, 206-513-6279,http://www.harrysfinefoods.com/,"takeout,delivery",WE ARE OPEN FOR TAKE OUT AND DELIVERY DAILY FROM 11 A.M. TO 7 P.M,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.385669452,47.667911121,53,b891bfe3-93c9-4fbc-846e-db12c09fa9e3,Hot Cakes , 5427 Ballard Ave NW , no phone ,https://www.birthdaysdontstop.com/,delivery,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.32321018,47.5985239670001,54,ae957f07-9796-49f2-bd7e-a1288a784939,Jade Garden,424 7th Ave S, 206-622-8181,http://jadegardenseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.374836405,47.6639132600001,56,15ca284b-b294-41af-b267-a8c381bcaf77,Java Jahn,1428 N.W. Leary Way, 206-789-9441,https://javajahn.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.320282525,47.611661639,57,a7181dcf-7948-4c5c-abbc-affd2186c7c2,Jimmy’s on Broadway , 1100 Broadway , 206.204.1188 ,https://jimmysonbroadway.com,"takeout,curbside,delivery,third_party_delivery_service",7am-9pm every day!,2020/03/27 01:38:15.543+00,2020/04/30 00:49:55.800+00
-122.331140195,47.6611843410001,58,a7e369fd-e02a-405d-8f60-a6addb2f0813,Kabul Afghan Cuisine,2301 N. 45th St., 206-545-9000,https://kabulrestaurant.com/,"delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.324701666,47.5985841500001,59,531f124f-136d-4fc6-a99d-32e3c42b81f2,Kau Kau,656 S. King St., 206-682-4006,http://www.kaukaubbq.com/,"takeout,third_party_delivery_service","Our ""temporary""hours are 10 am - 8 pm daily (or whenever our BBQ meats sell out)
We are ""temporarily"" closing on Tuesdays now

",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.302186596,47.6191746600001,60,eea44dd9-53e4-4a48-afb3-cf78f264cb61,Kin Dee,2301 E Madison St, 206-453-5514,https://www.kindeeseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.327708005,47.6168822450001,61,e84bbaa4-80a3-48f2-b147-095bb1b9e567,Knee High Stocking Co.,1356 E. Olive Way, 206-979-7049,http://www.kneehighstocking.com/,"delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.324129684,47.61394583,62,211d1dac-b3d8-4326-a34c-ce49743b8adb,R&M Dessert Bar,"601 E Pike St, Seattle, WA 98122", 206-351-9993,https://www.rmdessertbar.com/,"takeout,curbside,third_party_delivery_service","Hours
Sunday 4pm - 10pm
Monday 4pm - 10pm
Tuesday 4pm - 11pm
Wednesday 4pm - 11pm
Thursday 4pm - midnight
Friday & Saturday 4pm - midnight",2020/03/27 01:38:15.543+00,2020/05/11 17:03:27.533+00
-122.327588602,47.614386881,63,5955ce90-b7a1-42f5-b999-01e603266218,Mamnoon , 1508 Melrose Ave , 206.906.9606 ,https://mamnoonrestaurant.com/,"takeout,delivery,third_party_delivery_service","lunch/to-go menu: tue-fri 11:30am-8pmdinner/mama family meal: tue-sat 5pm-8pm,",2020/03/27 01:38:15.543+00,2020/04/22 15:11:14.020+00
-122.313494093,47.613166581,64,e998b507-8417-4dad-bf2b-97cf6c6e4b49,Marjorie,"1412 E Union St, Seattle, WA 98122", 206-441-9842,https://marjorierestaurant.com/,"delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/05/11 17:03:09.367+00
-122.387000077368,47.5603835470162,65,777f8e18-8057-45c2-8690-b1e2e72bfbb5,Mashiko,"4725 California Ave SW, Seattle, WA 98116", 206.935.4339 ,https://www.mashikorestaurant.com/,"takeout,third_party_delivery_service","Sunday — Thursday
5:03pm to 9:00pm

Friday — Saturday
5:03pm to 10:00pm",2020/03/27 01:38:15.543+00,2020/05/11 17:02:53.149+00
-122.384937782,47.667510679,66,eb9196ae-c095-413b-b6fa-45c7d18dcedb,Miro Tea,5405 Ballard Ave NW, 206-782-6832,http://mirotea.com/,"delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3348535,47.614185,67,0588261c-aaf0-429f-9c29-aff012cc663d,Mr. WEST Café Bar - Downtown,"720 Olive Way, Seattle WA  98101", 206.900.9378 ,http://mrwestcafebar.com/,"takeout,third_party_delivery_service","Mr. West has transformed into your essential neighborhood bodega.
Open for to-go coffee + food, retail beverages, and pantry items.  
 
",2020/03/27 01:38:15.543+00,2020/05/08 03:20:29.354+00
-122.298259780643,47.6620666577567,68,e0c01a6e-86c6-4be2-9fbb-a59ec85866d5,Mr. WEST Café Bar - U Village, 2685 Village Ln , 206.900.9378 ,http://mrwestcafebar.com/,"takeout,third_party_delivery_service","Mr. West is now your essential neighborhood bodega.
Open for to-go coffee + food, retail beverages, and pantry items. 
 ",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.342857128,47.609458606,69,5040d5e2-a788-4931-917f-e5d1ca4d544e,Old Stove Brewing Co.,1901 Western Ave. Suite A, 206-602-6120,https://www.oldstove.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.330456783,47.573829785,70,8b5064d5-6e8d-4dfe-b091-6d2e0cc4e31c,On Safari Foods , 3317 Third Ave S  , 206.932.9497 ,https://www.onsafarifoods.com/online-ordering,"takeout,curbside,delivery",Offering sustainable options from vegan to antibiotic-free and humanely sourced meat dishes. ,2020/03/27 01:38:15.543+00,2020/05/04 17:06:40.134+00
-122.357284002,47.637961644,71,da5534e0-fc98-4c59-a542-746e063d447d,Paragon Seattle , 2125 Queen Anne Ave N , 206.283.4539 ,https://www.paragonseattle.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.298020820442,47.6621208519264,72,d834ec2a-5926-4cfc-b85a-1d9312686eda,Piatti , 2695 NE Village Lane  , 206.524.9088 ,https://seattle.piatti.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.344094385,47.70223708,73,80296bb2-ea79-40d0-9c8d-54ee5f9fc8be,Pilgrim Coffeehouse , 10002 Aurora Ave N , 425.395.4982 ,https://www.pilgrimcoffeehouse.com/,takeout,Questions?  INFO@PILGRIMCOFFEEHOUSE.COM,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.317217145,47.6135369350001,75,d0519b53-4858-4993-9343-a122c7230819,Plum Chopped , 1419 12th Ave , 206.612.8259 ,https://plumbistro.com,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.299645948,47.662543596,76,fc8b828e-c6f0-4773-9cc9-dccfde34cb4e,Rachel’s Ginger Beer - U Village, 4626 26th Ave NE , no phone ,https://rachelsgingerbeer.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.316499832,47.6160485290001,77,777e2d67-a93d-46c9-9b13-c2810599a30b,Rachel’s Ginger Beer - 12th Ave, 1610 12th Ave , no phone ,https://rachelsgingerbeer.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.32826357,47.61489313,78,1a8e8019-2db3-4296-925e-004762cbc2d5,Ristorante Machiavelli,1215 Pine St., 206-621-7941,https://www.ristorantemachiavelli.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.307041147,47.6246262500001,79,2a510b1a-cb44-44cb-b1e7-17551586d5d4,Rocket Taco,602 19th Ave. E., 206-457-5355,http://rocket-taco.com/seattle/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.280326625,47.554003601,80,0d8148ce-2e6b-40b9-b72c-5eb79c825aa3,Sam Choy’s Poke to the Max , 5300 Rainier Ave S , 206.310.1979 ,https://www.samchoyspoke.com/,"curbside,delivery,third_party_delivery_service",Online Order:  https://www.samchoyspoke.com/onlineorder,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.377132248,47.6815835680001,81,08d3c38d-5c13-4f3f-9bec-e408e2d2588f,Sazon Kitchen,7301 15th Ave. N.W., 206-717-2827,https://spark.adobe.com/page/fA6c9GFhgTJc3/,takeout,facebook/Instagram : @sazonkitchen206,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.292081714,47.734071817,85,3f3542e4-a625-40e6-8749-8f537b81836e,Taco Bell - Seattle, 14506 Bothell Way NE , 206-367-4248 ,,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/04/15 23:01:04.046+00
-122.324699877,47.598203486,86,693b6c69-35c6-40c7-bc39-f422f2b43bd3,Tai Tung,655 S. King St., 206-622-7372,https://www.taitungrestaurant.com/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.315998377,47.6064676880001,87,2053afcd-446c-4eba-acea-a363f5ef9f1a,Taste of the Caribbean , 1212 E Jefferson St , 206.323.9112 ,http://www.tasteofthecaribbeanseattle.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.330781666,47.606811915,88,d3faf0db-8f22-4d65-8fdc-e65971e80504,The 515 , 515 Madison St , 206.583.0300 ,https://www.marriott.com/hotels/hotel-information/restaurant/seasm-renaissance-seattle-hotel/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.387461481,47.5465705300001,89,f4f8335b-a80e-4f3b-b35e-584ab02054cc,The Bridge , 6301 SW California Ave SW , 206.402.4606 ,https://theBridgeSeattle.com,"takeout,curbside,third_party_delivery_service","4 pm-9 pm, Order curbside by calling (206)402-4606",2020/03/27 01:38:15.543+00,2020/05/01 08:07:44.690+00
-122.343760995,47.64884383,90,799b0167-a07f-4d44-8308-3e764acaca98,The Dock Sports Bar & Grill , 1102 N 34th St  , 206.829.8372 ,http://fremontdock.com/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.330781666,47.606811915,91,36703387-e9fb-46e5-988a-7c1baae8e528,The Fig & The Judge , 515 Madison St ,(206)6944900,https://www.marriott.com/hotels/hotel-information/restaurant/seasm-renaissance-seattle-hotel/,takeout,,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.385557750378,47.66852976592,92,cc775b1d-bda1-48e0-81f3-e559aa5af29e,The Matador - Ballard,2221 N.W. Market St.,206-297-2855,https://matadorrestaurants.com/,"takeout,delivery,third_party_delivery_service",We're open Wednesday - Sunday from 11am - 8pm. Our Happy Hour menu is available for all takeout orders placed between 4-6pm! ,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.356373466,47.624117219,94,b84cf90b-f203-4685-9b69-39be516e795b,The Mecca Cafe , 526 Queen Anne Ave N  , 206.285.9728 ,https://mecca-cafe.com/,"takeout,curbside,delivery,third_party_delivery_service","Call 206 285-9728 for curbside pickup for food & booze. Menu on our website.Delivery via Grubhub, Postmates & Uber Eats. 8am - 12am",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.355499765,47.6896797520001,96,09236c67-3b94-4c69-ac02-66da8d095e71,The Yard Café , 8313 Greenwood Ave N , 206.588.1746 ,http://theyardcafe.com/,takeout,"We have takeout! See our menu for items that are available during this time.
We sincerely appreciate your business! Stay well out there.",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.340070278,47.661199046,97,53c0b5d9-ae92-4492-a1f1-41295c9d7b37,Tilth,1411 N. 45th St., 206-633-0801,https://www.chefmariahines.com/,"takeout,third_party_delivery_service",Order online & pick up at Tilth Wed-Sun 12-7pm.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.371596852,47.665247165,98,9e9cb1df-5074-43b4-8bea-9840b6fcb456,Trailbend Taproom , 1118 NW 50th St , 206.397.4374 ,http://trailbendtaproom.com/,"takeout,third_party_delivery_service","Current hours:
Tuesday - Saturday, 4pm - 8pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.317881585,47.693789687,99,bdbcaf7b-ad14-4324-9aa3-e1edecde27ca,The Maple,8929 Roosevelt Way NE,206-402-6135,https://www.themaplepub.com/,"takeout,delivery","Mon - Fri: 12pm - 8pm          Sat & Sun: 10:30 - 8pm; Brunch 10:30 - 2pm          Order online at www.themaplepub.com        Delivery 4pm - 8pm daily",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.337443408,47.6088583390001,100,74ceaf3a-0de9-44cc-b684-98cb20ec4b05,Wild Ginger,"1401 3rd Ave, Seattle, WA 98101",206.707.0396,https://www.wildginger.net/,"takeout,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.340256114,47.4666986500001,101,55387a31-970b-4622-9978-b526cbc3323e,Burien Press,"423 SW 152nd St Burien, WA 98166",(206) 453-5412,https://www.facebook.com/burienpress/,takeout,"Offering Coffee, house made food, wine, and growlers. 

Mobile preorder available through Toast Takeout at https://www.toasttab.com/burienpress/v3",2020/03/27 01:38:15.543+00,2020/04/27 01:53:23.661+00
